# Solutions to Equation 26 of Laundal et al. (2022, https://doi.org/10.1029/2022JA030356)
# which gives maximum plasma production q' as a function of solar zenith angle chi.
# Solutions from Lompe (Laundal et al., https://doi.org/10.5281/zenodo.5973739), assuming:
# n(z)        =  1e13 m^-3
# z0          =   500 km
# H           =    50 km
# tau(z, chi) = 1e-20 m^-2
chi,q_dash
88.6,0.084760
88.7,0.083557
88.8,0.082360
88.9,0.081169
89.0,0.079986
89.1,0.078809
89.2,0.077638
89.3,0.076475
89.4,0.075319
89.5,0.074169
89.6,0.073027
89.7,0.071892
89.8,0.070765
89.9,0.069644
90.0,0.068532
90.1,0.067426
90.2,0.066329
90.3,0.065239
90.4,0.064157
90.5,0.063083
90.6,0.062016
90.7,0.060958
90.8,0.059908
90.9,0.058867
91.0,0.057833
91.1,0.056808
91.2,0.055792
91.3,0.054784
91.4,0.053784
91.5,0.052794
91.6,0.051812
91.7,0.050839
91.8,0.049875
91.9,0.048920
92.0,0.047974
92.1,0.047038
92.2,0.046110
92.3,0.045192
92.4,0.044284
92.5,0.043384
92.6,0.042495
92.7,0.041615
92.8,0.040745
92.9,0.039884
93.0,0.039033
93.1,0.038192
93.2,0.037361
93.3,0.036540
93.4,0.035729
93.5,0.034928
93.6,0.034137
93.7,0.033356
93.8,0.032585
93.9,0.031825
94.0,0.031075
94.1,0.030335
94.2,0.029606
94.3,0.028886
94.4,0.028178
94.5,0.027480
94.6,0.026792
94.7,0.026114
94.8,0.025447
94.9,0.024791
95.0,0.024145
95.1,0.023509
95.2,0.022884
95.3,0.022270
95.4,0.021666
95.5,0.021072
95.6,0.020489
95.7,0.019916
95.8,0.019354
95.9,0.018802
96.0,0.018260
96.1,0.017729
96.2,0.017208
96.3,0.016698
96.4,0.016197
96.5,0.015707
96.6,0.015226
96.7,0.014756
96.8,0.014296
96.9,0.013846
97.0,0.013405
97.1,0.012974
97.2,0.012554
97.3,0.012142
97.4,0.011740
97.5,0.011348
97.6,0.010965
97.7,0.010592
97.8,0.010228
97.9,0.009872
98.0,0.009526
98.1,0.009189
98.2,0.008860
98.3,0.008540
98.4,0.008229
98.5,0.007926
98.6,0.007632
98.7,0.007346
98.8,0.007068
98.9,0.006798
99.0,0.006536
99.1,0.006281
99.2,0.006034
99.3,0.005795
99.4,0.005563
99.5,0.005338
99.6,0.005121
99.7,0.004910
99.8,0.004706
99.9,0.004509
100.0,0.004318
100.1,0.004134
100.2,0.003956
100.3,0.003784
100.4,0.003618
100.5,0.003458
100.6,0.003304
100.7,0.003155
100.8,0.003012
100.9,0.002874
101.0,0.002741
101.1,0.002614
101.2,0.002491
101.3,0.002373
101.4,0.002259
101.5,0.002150
101.6,0.002046
101.7,0.001946
101.8,0.001849
101.9,0.001757
102.0,0.001669
102.1,0.001584
102.2,0.001503
102.3,0.001426
102.4,0.001352
102.5,0.001281
102.6,0.001213
102.7,0.001149
102.8,0.001087
102.9,0.001028
103.0,0.000972
103.1,0.000919
103.2,0.000868
103.3,0.000820
103.4,0.000773
103.5,0.000730
103.6,0.000688
103.7,0.000648
103.8,0.000611
103.9,0.000575
104.0,0.000541
104.1,0.000509
104.2,0.000479
104.3,0.000450
104.4,0.000423
104.5,0.000397
104.6,0.000372
104.7,0.000349
104.8,0.000328
104.9,0.000307
105.0,0.000288
105.1,0.000269
105.2,0.000252
105.3,0.000236
